# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACO2	ENSG00000100412	ENST00000678819	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000679264	retained_intron	0	0	0	33	0	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000679284	retained_intron	0	0	0	21	0	0	0	0	0	0	4	0	10	0	3	0	0	0	0	0	0	4
ACO2	ENSG00000100412	ENST00000679311	retained_intron	0	0	0	33	0	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000679320	nonsense_mediated_decay	0	0	0	33	0	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACTBP15	ENSG00000213857	ENST00000423293	processed_pseudogene	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ADM2	ENSG00000128165	ENST00000395737	protein_coding	0	0	0	31	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7
ADM2	ENSG00000128165	ENST00000395738	protein_coding	0	0	0	31	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7
ADORA2A	ENSG00000128271	ENST00000337539	protein_coding	0	0	0	16	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000424232	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000436735	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1
ADORA2A	ENSG00000128271	ENST00000439591	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2
ADORA2A	ENSG00000128271	ENST00000444262	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000464977	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000467385	processed_transcript	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000472248	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1
ADORA2A	ENSG00000128271	ENST00000486108	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000486351	processed_transcript	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000496258	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000496497	processed_transcript	0	0	0	14	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000610595	protein_coding	0	0	0	16	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	1
ADORA2A	ENSG00000128271	ENST00000611543	protein_coding	0	0	0	16	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000618076	protein_coding	0	0	0	16	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	1
ADORA2A-AS1	ENSG00000178803	ENST00000326341		0	0	0	94	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000412790		1	0	0	91	0	0	0	0	0	0	7	0	81	0	5	0	1	1	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000427813		1	0	0	91	0	0	0	0	0	0	7	0	78	0	8	0	1	1	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000650766		1	0	0	91	0	0	0	0	0	0	7	0	81	0	5	0	1	1	0	0	0	0
ADSL	ENSG00000239900	ENST00000216194	protein_coding	0	0	1	21	0	0	0	0	0	0	8	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000342312	protein_coding	0	0	1	21	6	0	0	0	0	0	2	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000423176	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6
ADSL	ENSG00000239900	ENST00000466863	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000477111	retained_intron	0	0	0	8	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000480775	nonsense_mediated_decay	0	0	0	28	6	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000498234	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6
ADSL	ENSG00000239900	ENST00000623063	protein_coding	0	0	1	21	8	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000623287	nonsense_mediated_decay	0	0	0	28	6	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000623387	retained_intron	0	0	0	19	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	6
ADSL	ENSG00000239900	ENST00000623632	protein_coding	0	0	1	21	0	0	0	0	0	0	8	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000623978	protein_coding	0	0	0	14	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000624027	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6
ADSL	ENSG00000239900	ENST00000624474	nonsense_mediated_decay	0	0	0	11	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000624503	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000625194	protein_coding	0	0	1	21	5	0	0	0	0	0	3	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000636124	processed_transcript	0	0	0	5	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000636265	protein_coding	0	0	1	21	0	0	0	0	0	0	13	0	7	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000636433	retained_intron	0	0	0	21	0	0	0	0	0	0	8	0	12	0	1	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000636714	protein_coding	0	0	1	21	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000637666	protein_coding	0	0	1	21	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000637669	nonsense_mediated_decay	0	0	0	22	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000638161	processed_transcript	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000674592	retained_intron	0	0	0	21	0	0	0	0	0	0	8	0	10	0	3	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000675622	retained_intron	0	0	0	22	0	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000679609	nonsense_mediated_decay	0	0	0	28	6	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000679656	retained_intron	0	0	0	22	0	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000679723	protein_coding	0	0	1	21	8	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000679845	retained_intron	0	0	0	21	0	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000679904	retained_intron	0	0	0	21	0	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000680378	protein_coding	0	0	1	21	5	0	0	0	0	0	3	0	12	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000680444	nonsense_mediated_decay	0	0	0	28	6	0	0	0	0	0	3	0	12	0	6	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000680978	protein_coding	0	0	1	21	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000681003	retained_intron	0	0	0	21	0	0	0	0	0	0	3	0	10	0	6	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000681159	retained_intron	0	0	0	22	0	0	0	0	0	0	3	0	10	0	8	0	0	0	0	0	0	1
AP1B1	ENSG00000100280	ENST00000317368	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000357586	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000405198	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000432560	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000473606	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
APOBEC3A	ENSG00000128383	ENST00000249116	protein_coding	0	0	0	7	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
APOBEC3A	ENSG00000128383	ENST00000402255	protein_coding	0	0	0	9	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
APOBEC3A	ENSG00000128383	ENST00000488758	retained_intron	0	0	0	7	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0
APOBEC3A	ENSG00000128383	ENST00000495988	processed_transcript	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
APOBEC3A	ENSG00000128383	ENST00000618553	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000407997	protein_coding	0	0	2	11	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000461827	processed_transcript	0	0	0	13	0	0	0	0	0	0	7	0	4	0	2	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000463934	retained_intron	0	0	0	6	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000480000	retained_intron	0	0	0	13	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000481958	retained_intron	0	0	0	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6
APOBEC3G	ENSG00000239713	ENST00000486357	processed_transcript	0	0	0	13	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	4
APOBEC3G	ENSG00000239713	ENST00000494150	retained_intron	0	0	0	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6
APOBEC3H	ENSG00000100298	ENST00000348946	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000401756	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000421988	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000442487	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000474235	retained_intron	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000613677	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOBEC3H	ENSG00000100298	ENST00000613996	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7
APOL3	ENSG00000128284	ENST00000349314	protein_coding	0	0	1	11	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000361710	protein_coding	0	0	0	12	0	0	1	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000397287	protein_coding	0	0	0	12	0	0	1	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000397289	nonsense_mediated_decay	0	0	0	13	1	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000397293	protein_coding	0	0	0	12	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000422426	nonsense_mediated_decay	0	0	0	13	1	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000424878	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000426939	nonsense_mediated_decay	0	0	0	13	1	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000432700	nonsense_mediated_decay	0	0	0	13	1	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000472303	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000485453	processed_transcript	0	0	0	8	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000487355	nonsense_mediated_decay	0	0	0	13	1	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000487423	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000487783	nonsense_mediated_decay	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000525184	processed_transcript	0	0	0	8	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000528740	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000530895	nonsense_mediated_decay	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000531095	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000531195	nonsense_mediated_decay	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000533061	processed_transcript	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000534251	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000332987	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000352371	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000397275	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000419360	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000436763	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000449084	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000457630	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000480236	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000493203	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000613247	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000616056	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000683024	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL4	ENSG00000100336	ENST00000684666	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL5	ENSG00000128313	ENST00000249044	protein_coding	0	1	3	21	0	0	0	0	0	0	3	0	14	3	0	0	0	0	0	0	1	4
APOL6	ENSG00000221963	ENST00000409652	protein_coding	0	0	0	20	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFGAP3	ENSG00000242247	ENST00000263245	protein_coding	0	0	0	17	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0
ARFGAP3	ENSG00000242247	ENST00000437119	protein_coding	0	0	0	17	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0
ARFGAP3	ENSG00000242247	ENST00000453516	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
ARFGAP3	ENSG00000242247	ENST00000454099	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ARL2BPP10	ENSG00000225225	ENST00000446487	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARSA	ENSG00000100299	ENST00000216124	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARSA	ENSG00000100299	ENST00000356098	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARSA	ENSG00000100299	ENST00000395619	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARSA	ENSG00000100299	ENST00000395621	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARSA	ENSG00000100299	ENST00000453344	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARSA	ENSG00000100299	ENST00000551731	retained_intron	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ARVCF	ENSG00000099889	ENST00000263207	protein_coding	0	1	0	50	0	0	0	0	0	0	46	0	4	0	0	0	0	1	0	0	1	0
ARVCF	ENSG00000099889	ENST00000401994	protein_coding	0	1	0	37	0	0	0	0	0	0	33	0	4	0	0	0	0	1	0	0	1	0
ARVCF	ENSG00000099889	ENST00000406259	protein_coding	0	1	0	37	0	0	0	0	0	0	33	0	4	0	0	0	0	1	0	0	1	0
ARVCF	ENSG00000099889	ENST00000406522	protein_coding	0	1	0	37	0	0	0	0	0	0	33	0	4	0	0	0	0	1	0	0	1	0
ARVCF	ENSG00000099889	ENST00000462319	processed_transcript	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000467828	processed_transcript	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000473551	retained_intron	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000480792	processed_transcript	0	0	0	20	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	5
ARVCF	ENSG00000099889	ENST00000487793	processed_transcript	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000492625	processed_transcript	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000495096	retained_intron	0	1	0	50	0	0	0	0	0	0	46	0	4	0	1	0	0	1	0	0	0	0
ASCC2	ENSG00000100325	ENST00000307790	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000397771	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000412689	processed_transcript	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASCC2	ENSG00000100325	ENST00000431535	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASCC2	ENSG00000100325	ENST00000449900	nonsense_mediated_decay	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000453160	nonsense_mediated_decay	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000454854	nonsense_mediated_decay	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000458594	nonsense_mediated_decay	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
