chromosome,total_variants,concordance,reclassification_rate,unclassified_stability,other_stability,benign_stability,likely benign_stability,vus_stability,conflicting_stability,likely pathogenic_stability,pathogenic_stability,to_likely_pathogenic,to_pathogenic,vus_to_likely_pathogenic,vus_to_pathogenic,benign_to_pathogenic,benign_to_likely_pathogenic,likely_benign_to_pathogenic,pathogenic_to_vus,pathogenic_to_benign,likely_pathogenic_to_vus,likely_pathogenic_to_benign
Chr11,1260944,0.9945294953622048,0.005470504637795193,0.9952767986763493,1.0,0.9516044187269858,0.9418638621092609,0.8005677785663591,0.8708644610458911,0.7045454545454546,0.6129032258064516,45,16,4,0,0,0,0,3,1,0,0
Chr12,1267165,0.9957203679078889,0.00427963209211113,0.996349353270766,,0.9486644407345576,0.9407259407259407,0.7797797797797797,0.8767967145790554,0.8387096774193549,0.873015873015873,17,16,1,1,0,0,0,1,0,0,0
Chr13,850486,0.9978576954823477,0.0021423045176522937,0.9982337001499109,,0.9546555901696089,0.9421407907425265,0.7718446601941747,0.8864468864468864,0.72,0.6428571428571429,10,10,1,0,0,0,0,0,0,0,0
Chr14,839470,0.9956281939795347,0.004371806020465274,0.9962334605276761,,0.9437131184748071,0.9584584584584585,0.8059299191374663,0.9051546391752577,0.65,0.5714285714285714,15,12,1,0,0,0,0,2,0,1,1
Chr15,834885,0.9953802020637573,0.0046197979362426755,0.9961907162035107,,0.9492779147587178,0.9500209995800084,0.7658643326039387,0.8586065573770492,0.7692307692307693,0.6304347826086957,30,13,0,1,0,0,0,3,0,1,0
Chr16,957237,0.9936609220078204,0.006339077992179587,0.9948363522494292,0.3333333333333333,0.9171450737005431,0.9439952081461516,0.7365591397849462,0.8861892583120204,0.7560975609756098,0.6507936507936508,34,13,1,0,0,0,0,3,1,1,0
Chr17,974031,0.9931583286363576,0.006841671363642443,0.9942286355432784,,0.9320180949987434,0.9433840181171143,0.7944277108433735,0.8717948717948718,0.7,0.6818181818181818,29,17,2,2,0,0,0,5,0,1,0
Chr18,653131,0.9972118916419523,0.0027881083580476584,0.9977912269572183,,0.9407452657299938,0.9384372533543804,0.8122270742358079,0.9128630705394191,0.42857142857142855,0.5,10,5,0,0,0,0,0,0,0,0,0
Chr19,877231,0.9902910407862924,0.009708959213707624,0.9912957435839342,,0.9289340101522843,0.9551692589204026,0.787962962962963,0.8729903536977492,0.6551724137931034,0.4857142857142857,25,11,0,0,0,0,0,3,0,2,0
Chr20,654127,0.9957194856656276,0.004280514334372376,0.9964048582995951,,0.9351825643928673,0.9406424581005587,0.7729166666666667,0.8876811594202898,0.5333333333333333,0.5,10,11,0,0,0,0,0,4,0,2,0
Chr21,365906,0.9961082901072953,0.003891709892704709,0.9968722134955844,,0.9425562470081379,0.9473140495867769,0.7547683923705722,0.8853211009174312,0.7777777777777778,0.8333333333333334,10,5,0,0,0,0,0,1,0,0,0
Chr22,492060,0.9947099947160916,0.005290005283908439,0.9954509636097664,0.5,0.9449972360420121,0.9594240837696335,0.8271812080536913,0.9317269076305221,0.75,0.6111111111111112,15,4,0,1,0,1,0,0,0,0,0
ChrX,900688,0.9970900023093457,0.0029099976906542535,0.9976901488483743,,0.9427760699929061,0.9229499174463401,0.676829268292683,0.8021201413427562,0.42857142857142855,0.7037037037037037,11,3,0,0,0,0,0,1,0,1,0
ChrY,36497,0.9998082034139792,0.00019179658602075378,0.9998355849066944,,1.0,1.0,,,,0.0,1,0,0,0,0,0,0,1,0,0,0
